@RELATION queryWorkflowMetrics

@ATTRIBUTE QueryContextInstance STRING
@ATTRIBUTE QueryBeginExecutionTime NUMERIC
@ATTRIBUTE QueryEndExecutionTime NUMERIC
@ATTRIBUTE QueryContent STRING
@ATTRIBUTE QuerySizeInCharacters NUMERIC
@ATTRIBUTE QueryNamespaceNb NUMERIC
@ATTRIBUTE QueryVariablesNb NUMERIC
@ATTRIBUTE QueryDataSetSourcesNb NUMERIC
@ATTRIBUTE QueryOperatorsNb NUMERIC
@ATTRIBUTE QueryResultOrderingNb NUMERIC
@ATTRIBUTE QueryResultLimitNb NUMERIC
@ATTRIBUTE QueryResultOffsetNb NUMERIC
@ATTRIBUTE QueryResultSizeInCharacters NUMERIC
@ATTRIBUTE QueryTotalResponseTime NUMERIC
@ATTRIBUTE QueryProcessTotalCPUTime NUMERIC
@ATTRIBUTE QueryThreadTotalCPUTime NUMERIC
@ATTRIBUTE QueryThreadUserCPUTime NUMERIC
@ATTRIBUTE QueryThreadSystemCPUTime NUMERIC
@ATTRIBUTE QueryThreadCount NUMERIC
@ATTRIBUTE QueryThreadBlockCount NUMERIC
@ATTRIBUTE QueryThreadBlockTime NUMERIC
@ATTRIBUTE QueryThreadWaitCount NUMERIC
@ATTRIBUTE QueryThreadWaitTime NUMERIC
@ATTRIBUTE QueryThreadGccCount NUMERIC
@ATTRIBUTE QueryThreadGccTime NUMERIC
@ATTRIBUTE QueryContextInstanceFromWorkflow STRING
@ATTRIBUTE WorkflowNumberOfPlugins NUMERIC
@ATTRIBUTE WorkflowTotalResponseTime NUMERIC
@ATTRIBUTE WorkflowProcessTotalCPUTime NUMERIC
@ATTRIBUTE WorkflowThreadTotalCPUTime NUMERIC
@ATTRIBUTE WorkflowThreadUserCPUTime NUMERIC
@ATTRIBUTE WorkflowThreadSystemCPUTime NUMERIC
@ATTRIBUTE WorkflowThreadCount NUMERIC
@ATTRIBUTE WorkflowThreadBlockCount NUMERIC
@ATTRIBUTE WorkflowThreadBlockTime NUMERIC
@ATTRIBUTE WorkflowThreadWaitCount NUMERIC
@ATTRIBUTE WorkflowThreadWaitTime NUMERIC
@ATTRIBUTE WorkflowThreadGccCount NUMERIC
@ATTRIBUTE WorkflowThreadGccTime NUMERIC
@ATTRIBUTE workflowID {w_01, w_02, w_03, w_04} 

@DATA 

'01e17ddf-936b-4755-94f4-86ae3d6aed84', 1309181879576, 1309181881576, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "jaundice"} }', 56, 0, 3, 0, 0, 0, 0, 0, 17219, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#01e17ddf-936b-4755-94f4-86ae3d6aed84', 4, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, w_01
'03383455-bfe6-42b5-8577-a13ad9374587', 1309181835294, 1309181837294, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "diarrhea"} }', 56, 0, 3, 0, 0, 0, 0, 0, 14294, 2000, 31, 0, 0, 0, 0, 0, 0, 2, 1999, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#03383455-bfe6-42b5-8577-a13ad9374587', 4, 2000, 31, 0, 0, 0, 0, 0, 0, 2, 1999, 0, 0, w_01
'04c9f324-9657-4006-94e1-5b3c9f5acf70', 1309181871529, 1309181873544, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "HPV"} }', 51, 0, 3, 0, 0, 0, 0, 0, 113672, 2015, 31, 15, 15, 0, 0, 0, 0, 2, 1998, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#04c9f324-9657-4006-94e1-5b3c9f5acf70', 4, 2000, 15, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, w_01
'05020cf1-4813-45d1-b8b7-eee9432f863f', 1309182155919, 1309182157919, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "trauma"}  UNION {?s ?p ?o . ?s ?p "yellow fever"} UNION {?s ?p ?o . ?s ?p "APRAXIAS" } UNION {?s ?p ?o . ?s ?p "level;" } UNION {?s ?p ?o . ?s ?p "superoxide" } UNION {?s ?p ?o . ?s ?p "envenomations" } }', 248, 0, 3, 0, 0, 0, 0, 0, 49764, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#05020cf1-4813-45d1-b8b7-eee9432f863f', 4, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, w_01
'072a27db-eff6-40f2-89ce-5fe9e451c794', 1309182174029, 1309182176044, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "trauma"}  UNION {?s ?p ?o . ?s ?p "aaa"} UNION {?s ?p ?o . ?s ?p "APRAXIAS" } UNION {?s ?p ?o . ?s ?p "level;" } UNION {?s ?p ?o . ?s ?p "superoxide" } UNION {?s ?p ?o . ?s ?p "envenomations" } }', 239, 0, 3, 0, 0, 0, 0, 0, 66605, 2015, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#072a27db-eff6-40f2-89ce-5fe9e451c794', 4, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, w_01
'083a45af-374e-4876-b5e8-130f0b84a344', 1309181919779, 1309181921779, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "pain"} }', 52, 0, 3, 0, 0, 0, 0, 0, 48497, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#083a45af-374e-4876-b5e8-130f0b84a344', 4, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1998, 0, 0, w_01
'08410df1-5ccf-4978-9844-afccb6dd0046', 1309182280810, 1309182282826, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "Biastophilia"}  UNION {?s ?p ?o . ?s ?p "arthritis"} UNION {?s ?p ?o . ?s ?p "APRAXIAS" } UNION {?s ?p ?o . ?s ?p "level;" } UNION {?s ?p ?o . ?s ?p "superoxide" }}', 208, 0, 3, 0, 0, 0, 0, 0, 59019, 2016, 15, 15, 15, 0, 0, 0, 0, 2, 2000, 1, 14, 'http://www.larkc.eu/ontologies/IMOntology.rdf#08410df1-5ccf-4978-9844-afccb6dd0046', 4, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 2000, 1, 14, w_01
'08814872-99b7-4508-8f12-fb1154c0f302', 1309182115669, 1309182117669, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "trauma"}  UNION {?s ?p ?o . ?s ?p "otitis"} UNION {?s ?p ?o . ?s ?p "APRAXIAS" } UNION {?s ?p ?o . ?s ?p "level;" } UNION {?s ?p ?o . ?s ?p "superoxide" } UNION {?s ?p ?o . ?s ?p "envenomations" } }', 242, 0, 3, 0, 0, 0, 0, 0, 80020, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1999, 0, 0, 'http://www.larkc.eu/ontologies/IMOntology.rdf#08814872-99b7-4508-8f12-fb1154c0f302', 4, 2000, 0, 0, 0, 0, 0, 0, 0, 2, 1999, 0, 0, w_01
'088afc6c-ef39-4bbf-bba3-77c784ef5d4c', 1309182057263, 1309182059279, 'SELECT ?s ?p ?o WHERE { { ?s ?p ?o . ?s ?p "trauma"}  UNION {?s ?p ?o . ?s ?p "Graves disease"} UNION {?s ?p ?o . ?s ?p "APRAXIAS" } UNION {?s ?p ?o . ?s ?p "level;" } UNION {?s ?p ?o . ?s ?p "superoxide" } UNION {?s ?p ?o . ?s ?p "envenomations" } }', 250, 0, 3, 0, 0, 0, 0, 0, 83500, 2016, 31, 15, 15, 0, 0, 0, 0, 2, 1998, 1, 9, 'http://www.larkc.eu/ontologies/IMOntology.rdf#088afc6c-ef39-4bbf-bba3-77c784ef5d4c', 4, 2000, 15, 0, 0, 0, 0, 0, 0, 2, 1998, 1, 9, w_01
